player1_x_coord,player1_y_coord,player1_health,player1_is_jumping,player1_is_crouching,player1_in_move,player1_move_id,player2_x_coord,player2_y_coord,player2_health,player2_is_jumping,player2_is_crouching,player2_in_move,player2_move_id,diff,timer,up,down,left,right,Y,B,A,R,L,X,select,start
124,2,3,False,True,True,2,1,7,2,False,True,True,4,-48,104,True,True,True,True,True,True,False,True,True,True,False,True
367,192,114,False,False,True,33685508,453,186,57,True,False,False,0,86,119,False,True,False,False,False,True,True,False,True,False,True,False
103,5,0,False,True,False,2,4,5,2,False,False,True,3,-50,109,True,True,True,False,True,True,True,False,True,True,True,True
373,192,161,False,False,True,1,283,101,110,True,False,False,0,-90,116,False,True,True,True,True,False,False,False,False,True,True,True
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,True,False,True,True,True,True,False,False,True,True,False,False
145,6,1,True,False,True,4,2,0,4,False,True,False,0,-48,100,False,True,True,True,True,False,True,True,True,True,True,True
390,131,55,False,False,False,0,453,120,31,True,False,False,0,63,102,True,True,True,False,False,False,False,True,True,False,True,True
242,192,176,False,False,True,33685508,327,192,169,False,True,False,0,85,135,True,False,True,True,False,False,True,False,False,False,False,False
107,6,1,True,True,True,4,4,9,0,False,True,True,2,-41,109,True,False,True,False,True,True,True,True,False,True,True,True
120,6,0,True,True,True,1,3,9,0,True,False,False,4,-46,100,True,False,False,False,True,False,True,True,True,True,True,True
132,5,2,False,False,False,0,3,1,3,False,False,True,0,-44,102,True,True,False,True,False,False,True,True,True,False,True,True
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,False,True,False,False,True,True,True,True,True,False,True,True
127,0,0,False,False,False,0,79,0,0,False,False,False,0,-48,103,True,True,True,True,False,False,False,False,True,True,False,False
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,True,True,True,False,True,False,False,True,True,False,True,False
101,9,0,False,False,False,3,3,9,0,False,True,True,2,-49,105,False,True,True,True,True,True,True,True,True,True,False,True
127,0,0,False,False,False,0,79,0,0,False,False,False,0,-48,103,False,False,True,True,True,False,True,True,True,False,True,True
119,5,0,False,True,True,2,2,3,1,True,False,False,0,-49,108,False,True,True,True,False,False,True,True,True,True,True,False
253,143,114,False,False,False,0,313,192,117,False,True,False,0,60,136,False,True,False,False,True,False,False,False,False,False,False,False
128,6,4,False,False,True,2,4,8,3,True,True,True,1,-43,106,False,True,True,True,True,True,True,True,False,True,True,False
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,False,False,True,False,False,False,True,True,True,False,True,False
143,5,4,True,True,True,3,1,0,3,True,False,True,4,-46,104,False,True,False,False,True,False,True,True,True,False,False,True
126,9,2,True,False,True,1,3,1,3,True,True,False,3,-42,105,True,False,False,True,True,True,True,True,True,True,True,True
149,3,4,True,True,True,2,2,0,4,True,False,True,4,-47,108,True,True,True,True,True,True,False,True,True,False,True,True
207,192,176,False,True,True,33686532,260,98,176,True,False,False,0,53,137,True,False,True,True,True,True,True,False,True,True,False,True
119,6,2,False,True,False,1,1,6,3,True,True,False,0,-44,101,True,True,False,True,False,False,False,True,True,True,True,False
109,3,1,False,False,False,3,3,4,4,False,True,True,2,-44,100,True,True,True,True,False,True,True,True,True,True,True,False
367,161,114,True,False,True,33685508,453,103,57,False,False,False,0,86,119,False,True,True,False,True,False,True,True,True,True,True,True
281,192,0,False,False,False,0,414,192,22,False,False,False,0,133,82,False,True,True,True,False,False,True,False,True,False,False,False
344,192,24,False,False,False,0,402,147,31,True,False,True,67240965,58,99,False,False,True,False,False,True,False,True,True,True,False,False
104,5,0,True,True,True,1,1,4,4,False,True,False,4,-41,107,True,True,True,True,False,False,True,True,False,True,True,True
193,185,145,True,False,True,1,313,192,117,False,False,False,0,120,145,True,True,True,True,False,True,True,False,False,False,True,False
390,192,114,False,False,True,1,453,192,31,False,False,False,0,63,113,False,False,False,False,False,True,True,True,False,True,True,False
140,6,0,True,False,False,2,0,4,4,False,False,False,0,-43,104,True,True,True,False,False,True,True,True,True,True,True,False
261,172,161,True,False,True,131073,74,192,80,False,True,False,0,-187,101,False,False,True,True,False,False,True,True,True,True,False,False
142,4,4,True,True,True,2,3,9,4,True,False,False,3,-43,109,True,True,False,False,True,True,False,False,True,True,False,True
122,8,0,False,False,False,1,1,6,4,True,False,False,3,-44,106,False,False,True,False,False,False,True,False,True,False,True,False
127,0,0,False,False,False,0,79,0,0,False,False,False,0,-48,103,True,True,True,False,False,False,False,False,False,False,True,True
134,1,2,True,True,True,3,4,6,4,True,False,False,4,-49,102,True,True,True,True,False,True,False,True,True,False,True,True
139,7,4,True,False,False,4,4,9,1,False,True,False,3,-43,107,True,False,False,True,True,False,True,True,True,True,False,True
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,True,False,False,True,False,True,True,False,False,True,True,True
347,192,114,False,True,True,33686532,371,192,82,False,False,False,0,24,131,True,False,True,True,True,True,False,False,True,True,True,False
241,192,176,False,True,True,33686532,266,100,176,True,False,False,0,25,137,False,False,False,True,True,True,True,False,False,True,False,False
149,1,2,True,True,False,1,3,3,4,True,False,False,1,-42,101,True,True,True,True,True,False,True,False,False,False,True,False
323,182,176,True,False,True,1,378,134,151,True,False,True,67239937,55,128,False,True,True,True,True,True,True,True,True,False,True,False
317,155,0,False,False,False,0,402,192,22,False,True,True,33686532,85,84,True,True,False,True,False,True,True,True,True,False,True,False
121,4,3,False,True,True,0,0,1,4,True,True,True,2,-45,100,True,True,False,True,True,False,False,True,True,True,True,True
149,6,4,False,False,False,3,4,7,3,False,True,False,0,-41,104,True,True,False,True,True,True,True,True,True,True,False,True
127,7,2,True,True,False,3,2,7,2,False,True,False,0,-50,109,True,True,True,False,True,True,False,True,True,True,True,True
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,False,False,True,True,True,False,False,False,True,True,False,False
425,141,0,True,False,True,1,453,192,19,False,False,True,132100,28,69,False,True,True,True,True,False,True,False,False,True,True,True
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,False,True,True,True,True,False,False,True,True,True,True,False
121,9,1,True,False,False,4,1,8,0,True,False,False,4,-43,105,True,False,True,False,False,True,True,True,False,True,False,False
140,4,3,False,False,False,4,4,8,3,False,False,False,1,-50,100,True,True,True,False,True,True,True,True,True,False,True,False
140,6,0,True,False,False,2,0,4,4,False,False,False,0,-43,104,True,True,True,False,False,True,True,True,True,True,True,False
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,True,True,True,True,False,True,True,True,False,False,True,False
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,False,False,False,True,True,False,False,False,False,True,False,True
310,144,0,False,False,False,0,402,192,22,False,True,True,33686532,92,83,False,True,False,False,True,False,False,False,False,True,True,True
128,0,1,False,True,True,0,3,5,4,False,True,True,0,-44,102,True,True,False,True,False,True,False,True,True,False,True,False
305,141,161,True,False,True,1,104,90,80,True,False,False,0,-201,103,True,True,False,False,False,True,False,True,False,True,False,True
135,2,4,True,False,True,2,0,9,0,True,True,True,3,-43,102,False,False,True,True,True,True,False,True,True,False,False,False
126,9,3,False,False,True,0,3,5,3,True,False,False,0,-43,108,True,False,True,False,False,True,True,True,True,False,False,True
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,False,True,True,False,False,False,False,True,False,False,False,True
113,1,4,True,True,True,1,3,5,2,True,True,False,3,-44,103,True,True,True,False,False,False,True,False,False,True,True,True
144,6,1,True,False,True,4,3,7,3,False,False,True,3,-44,104,False,True,True,True,False,True,False,True,True,False,True,True
363,192,161,False,False,True,1,220,192,110,False,False,False,0,-143,114,False,False,True,True,True,True,True,True,False,False,True,False
140,0,4,True,False,False,2,4,3,3,False,False,False,0,-42,101,True,True,True,True,False,False,False,True,False,True,True,True
102,7,2,True,True,True,2,4,9,2,False,False,True,2,-49,107,False,True,False,False,True,True,True,True,True,True,True,False
275,192,161,False,False,True,131073,74,192,80,False,True,False,0,-201,101,True,True,True,True,True,True,True,False,True,True,True,False
148,5,3,True,False,True,2,0,7,0,True,False,True,0,-43,108,False,True,True,True,False,True,True,True,True,True,False,True
209,192,136,False,True,True,33686532,274,162,43,False,False,False,0,65,82,True,True,False,True,True,False,True,True,False,True,False,False
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,True,True,True,True,True,True,True,True,True,True,True,True
242,192,176,False,False,True,33685508,327,192,169,False,True,False,0,85,135,False,True,True,True,False,True,False,False,False,False,False,True
302,192,161,False,False,True,1,199,192,110,False,False,False,0,-103,114,True,True,False,True,True,True,True,False,True,False,False,True
127,0,0,False,False,False,0,79,0,0,False,False,False,0,-48,103,False,False,True,True,False,False,False,True,False,False,False,True
130,4,4,True,True,True,0,2,6,1,False,False,False,4,-47,103,True,False,True,True,True,True,True,True,True,True,True,True
390,132,114,False,False,False,0,453,142,31,True,False,False,0,63,104,True,True,False,True,True,False,True,True,True,False,True,True
388,185,114,True,False,True,33685508,453,192,57,False,False,False,0,65,116,True,True,False,True,True,True,True,False,True,False,False,True
142,172,136,True,False,True,1,201,175,80,True,False,True,67240965,59,87,True,True,True,False,False,False,False,False,False,True,False,False
147,0,1,True,True,True,0,1,2,4,True,False,False,1,-41,100,True,True,True,True,True,True,True,True,True,False,True,True
104,3,1,True,False,True,1,2,0,3,False,True,False,3,-48,100,True,True,True,True,True,True,False,True,True,False,True,True
101,7,0,False,True,False,4,2,6,1,False,True,True,3,-44,105,True,True,False,False,True,True,True,False,True,True,True,True
143,3,3,False,True,True,0,3,5,4,True,False,False,4,-50,104,False,True,True,True,True,True,True,False,True,True,True,True
107,6,3,False,True,False,0,0,9,3,True,True,False,3,-50,108,True,True,True,False,False,True,True,True,True,True,True,False
108,9,3,False,True,False,4,3,6,4,True,False,True,1,-46,109,True,True,True,False,True,True,True,True,True,False,True,False
105,3,3,True,True,False,4,1,9,2,False,True,False,4,-47,105,True,False,False,False,True,False,True,True,True,True,True,True
367,164,114,True,False,True,33685508,453,96,57,False,False,False,0,86,119,True,True,True,True,True,False,False,False,False,False,False,False
127,0,0,False,False,False,0,79,0,0,False,False,False,0,-48,103,True,False,True,True,True,True,True,True,True,False,True,True
115,8,1,False,False,False,1,0,3,3,True,True,True,1,-47,100,False,True,True,True,True,False,True,True,True,False,True,True
194,192,136,False,False,False,0,155,173,80,True,False,True,67240965,-39,96,True,True,True,True,True,True,False,False,True,False,True,True
209,192,136,False,True,True,33686532,284,186,43,True,False,False,0,75,82,False,True,True,True,True,True,False,True,True,True,False,False
130,2,3,False,True,False,3,0,1,3,True,True,True,1,-44,104,True,False,True,False,False,True,False,True,True,True,True,False
109,2,4,True,False,True,3,1,9,1,True,False,False,0,-44,105,True,False,True,True,True,True,True,True,True,False,True,True
144,1,0,True,False,False,0,0,9,4,False,False,False,4,-41,100,True,True,False,True,True,True,True,True,False,True,False,False
122,1,2,False,True,True,4,1,9,4,True,False,False,3,-49,105,True,True,False,False,True,True,False,True,True,True,True,True
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,False,True,False,True,False,True,True,True,False,True,True,False
133,1,0,False,False,True,4,1,2,2,True,False,True,4,-44,100,True,False,True,False,True,True,True,True,True,True,True,True
127,0,0,False,False,False,0,79,0,0,False,False,False,0,-48,103,False,False,False,True,False,False,False,True,False,True,False,True
320,192,176,False,False,True,1,433,88,151,True,False,False,0,113,129,False,True,False,True,True,True,False,False,False,True,False,False
328,192,24,False,True,False,0,453,192,26,False,False,False,0,125,89,False,False,True,True,True,True,False,False,True,False,True,True
127,0,0,False,False,False,0,79,0,0,False,False,False,0,-48,103,False,True,True,False,True,False,True,False,False,True,True,True
120,1,4,False,True,False,0,4,8,1,False,False,True,1,-45,106,True,False,True,True,True,True,False,True,True,True,True,True
205,192,176,False,False,False,0,307,192,176,False,False,False,0,102,153,False,False,True,False,True,False,True,True,False,False,True,False
347,192,114,False,True,True,33686532,374,192,82,False,False,False,0,27,131,False,False,True,False,True,True,False,False,True,True,True,False
179,192,145,False,False,True,131073,251,192,161,False,False,False,0,72,149,True,False,False,True,True,True,True,True,False,True,True,True
141,8,4,False,False,True,3,1,8,1,False,True,True,4,-46,107,True,True,True,True,True,False,True,True,True,False,True,True
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,False,True,True,True,False,True,False,False,False,True,True,False
118,9,0,False,False,False,3,0,9,4,True,True,False,3,-50,101,False,False,True,True,True,True,True,True,True,False,False,True
129,2,0,True,True,True,0,0,6,0,False,False,True,1,-48,108,True,True,True,True,True,True,True,False,True,True,False,True
238,157,114,False,False,False,0,321,192,117,False,False,False,0,83,136,True,True,False,False,False,True,False,True,True,False,False,True
101,3,2,True,True,False,0,1,9,1,False,True,False,0,-41,107,True,True,True,True,True,True,True,True,False,True,True,True
390,46,114,False,False,False,0,453,62,31,True,False,False,0,63,104,False,True,True,True,True,True,True,True,False,True,True,False
328,192,24,False,False,True,1,390,192,31,False,True,False,0,62,98,True,True,False,False,True,True,True,True,False,False,False,False
354,172,0,True,False,True,1,435,192,19,False,False,False,0,81,72,True,True,True,True,False,False,True,False,False,False,False,True
191,192,161,False,False,True,1,53,106,80,True,False,False,0,-138,99,False,False,True,False,False,True,True,True,True,True,True,True
328,192,24,False,False,True,1,415,192,22,False,False,False,0,87,85,False,False,False,True,False,True,True,False,False,False,True,False
127,0,0,False,False,False,0,207,0,0,False,False,False,0,80,104,False,True,True,False,False,False,False,True,False,False,False,True
105,6,0,False,False,False,0,3,1,4,True,False,True,4,-47,105,True,True,True,True,True,True,True,True,False,True,False,True
108,9,1,True,False,True,2,0,7,0,False,True,True,4,-47,103,True,True,True,True,False,False,True,True,False,True,True,False
133,6,3,False,False,False,2,3,3,1,True,True,True,0,-45,105,True,False,True,False,True,True,True,False,True,False,True,True
115,2,1,False,False,True,4,1,4,1,True,True,True,1,-44,103,False,True,True,True,False,True,False,True,True,True,True,True
328,192,24,False,False,True,1,419,192,22,False,True,True,33686532,91,85,False,True,False,False,False,True,False,True,False,False,True,True
136,7,0,True,False,False,3,2,6,4,True,True,True,3,-42,102,False,True,True,True,True,False,True,True,True,True,True,True
288,169,0,False,False,False,0,410,192,22,False,False,False,0,122,83,True,True,True,True,True,True,True,False,False,True,True,True
